id,InterviewerType,Randomize,S3SS2_1,S3SS2_2,S3SS2_3,S3SS2_4,S3SS2_5,S3SS2_6,S3SS2_7,S3SS2_8,S3SS2_9,S3SS2_10,S3SS2_11,S3SS2_12,S3SS2_13,S3SS2_14,S3SS3_1,S3SS3_2,S3SS3_3,S3SS3_4,S3SS3_5,S3SS3_6,S3SS3_7,S4Q1,white,black,hispanic,timein_yrs
1,0,1,2,2,3,2,1,2,1,4,1,2,3,3,2,2,3,3,2,4,1,4,4,25,1,0,0,.4166667
2,0,1,3,3,1,3,4,2,5,4,1,1,3,2,1,4,1,5,1,1,2,2,3,58,0,0,1,4.5
3,0,1,2,3,2,2,1,4,1,1,1,1,1,2,5,2,2,5,1,1,4,5,1,35,0,0,0,10
4,0,1,2,3,3,,2,3,1,4,1,1,4,3,1,4,2,4,1,3,1,5,4,60,1,0,0,4
5,1,1,5,4,5,1,3,4,3,5,1,1,3,5,5,5,1,3,3,3,1,4,5,56,0,0,1,16
6,1,1,2,3,4,3,3,3,3,3,1,2,3,3,3,4,2,5,3,2,2,3,3,30,1,0,0,3.666667
7,1,1,3,3,4,2,4,3,2,4,1,2,2,1,1,2,1,1,3,5,1,5,5,41,0,1,0,1
8,1,1,3,4,3,2,2,3,1,2,1,1,4,3,3,4,1,5,2,1,2,2,4,49,1,0,0,25
9,1,1,3,3,2,3,3,3,3,2,2,2,3,2,3,3,3,4,3,3,2,2,3,39,1,0,0,10
10,1,1,3,3,2,3,3,2,3,4,2,3,2,4,3,3,3,5,3,3,1,5,4,32,0,0,1,5.166667
11,1,1,3,3,4,4,2,2,2,3,1,1,2,3,2,2,2,2,5,3,4,2,5,42,0,0,1,1
12,1,1,2,3,3,5,3,2,5,4,1,1,1,1,1,2,2,5,3,3,2,4,4,57,0,0,1,13.91667
13,1,1,2,2,2,5,1,1,1,3,1,1,1,2,1,1,1,5,1,2,4,3,5,70,1,0,0,4
14,0,0,3,3,2,4,3,3,1,4,1,1,1,1,1,3,2,4,2,2,3,2,4,53,1,0,0,5.25
15,0,1,2,3,3,2,2,1,1,3,1,1,3,3,,3,3,4,3,3,4,2,3,37,1,0,0,4
16,1,1,3,2,2,3,2,2,5,4,1,3,2,2,1,3,4,1,4,2,3,3,2,54,0,0,1,2
17,0,1,3,3,4,5,4,3,4,5,3,3,3,4,2,4,3,2,3,4,1,3,4,44,0,0,1,1.083333
18,0,1,3,2,1,1,3,3,5,4,2,3,3,3,2,3,1,5,2,2,2,2,2,31,0,0,0,7
19,0,1,3,3,4,2,3,3,2,4,2,2,3,2,2,3,2,3,4,3,2,3,2,44,0,0,0,.25
20,0,1,2,1,3,3,1,2,1,4,1,4,1,1,1,3,1,5,3,2,3,3,4,32,1,0,0,4.166667
21,0,1,4,3,4,2,3,4,3,4,1,1,2,2,1,4,3,2,3,3,1,5,5,35,1,0,0,4
22,0,1,4,3,5,2,3,4,3,4,1,1,3,3,2,5,4,3,3,4,1,4,4,63,1,0,0,8
23,1,1,4,5,3,2,3,3,2,4,3,2,5,4,3,5,3,2,3,4,4,4,3,37,0,0,0,7.75
24,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,3,4,3,2,2,2,2,61,1,0,0,5
25,1,1,3,2,2,2,2,3,2,4,1,1,3,2,4,3,2,5,1,1,2,2,3,43,0,0,0,10
26,1,1,4,3,3,2,3,3,2,3,1,1,3,2,3,4,2,5,2,3,2,2,5,35,1,0,0,3.083333
27,1,1,3,3,4,4,3,2,2,4,1,1,4,3,5,4,3,2,2,3,1,3,4,34,0,0,1,5
28,1,1,2,2,4,5,2,2,3,5,1,1,3,2,2,4,2,5,2,1,2,1,2,31,0,0,1,9.166667
29,1,1,4,4,4,2,4,3,2,5,1,1,4,4,4,5,4,2,3,4,2,4,4,40,1,0,0,4.916667
30,1,1,3,4,3,3,1,3,5,3,1,1,1,1,1,3,3,3,2,2,2,3,3,23,0,0,1,3.416667
31,1,1,1,2,1,5,1,4,3,1,1,1,4,3,3,3,4,3,2,3,2,5,3,31,0,0,0,6
32,0,1,4,4,4,3,4,4,4,4,2,2,4,4,3,4,2,4,3,3,1,4,4,45,0,1,0,8
33,1,1,2,4,5,,3,3,1,5,1,2,4,,4,5,2,5,3,2,3,2,4,49,0,0,0,3.583333
34,0,1,4,4,3,3,4,4,4,4,3,4,4,4,3,4,3,3,4,4,2,3,4,40,1,0,0,22
35,0,1,4,3,4,3,4,4,3,4,1,2,4,3,4,3,2,5,4,3,1,4,4,62,1,0,0,25
36,0,1,3,3,2,3,5,3,2,4,1,1,4,3,4,3,1,2,3,5,1,3,4,43,0,0,1,9
37,0,1,3,4,3,2,3,4,3,3,1,1,4,4,4,3,2,5,1,2,4,2,2,47,1,0,0,26
38,0,1,3,3,4,4,3,4,4,4,1,3,3,3,2,3,3,2,3,4,1,5,3,40,0,1,0,16.16667
39,0,1,2,3,2,5,1,3,5,3,1,1,2,2,1,3,5,2,2,3,2,4,5,40,1,0,0,4.5
40,0,1,3,4,4,5,2,2,5,3,1,1,,1,3,3,,,,,,,,21,0,0,1,.5833333
41,0,1,1,1,4,3,1,1,2,5,1,2,1,2,1,3,2,5,2,2,2,4,2,23,0,0,1,2
42,0,0,5,5,5,3,5,3,3,5,1,1,3,4,4,5,2,5,1,3,1,5,5,42,0,0,1,7
43,0,1,2,2,4,2,1,3,2,4,1,3,2,2,3,3,4,4,4,4,2,4,3,39,1,0,0,16
44,0,1,3,3,4,2,2,4,3,4,2,2,3,2,1,3,4,3,3,4,2,4,4,57,0,0,0,25
45,0,1,5,2,5,1,3,3,1,4,1,1,3,2,2,4,2,5,1,1,2,3,3,35,1,0,0,5
46,0,0,3,3,2,3,2,2,1,3,1,1,3,2,3,3,3,5,1,1,2,3,4,35,1,0,0,4
47,0,0,1,2,4,2,2,2,1,4,1,1,2,2,3,3,5,5,3,5,2,4,4,22,0,0,1,6
48,0,1,5,5,5,3,5,5,4,5,2,3,5,5,5,5,3,3,2,3,2,3,3,38,1,0,0,6
49,0,1,2,2,3,2,2,2,2,4,1,1,1,2,1,3,1,5,1,2,3,2,1,30,0,0,1,8
50,0,0,5,5,5,3,5,5,5,5,2,4,5,5,3,5,1,5,3,4,2,5,3,40,1,0,0,6.083333
51,0,0,3,4,4,3,3,4,4,4,2,3,3,3,3,3,3,3,3,4,3,4,3,49,0,0,0,4
52,0,0,2,2,2,2,3,3,1,3,1,1,2,2,1,2,1,5,3,2,2,3,5,42,0,0,0,.25
53,0,0,4,5,5,2,4,4,3,5,1,1,4,4,4,5,2,4,2,4,2,4,4,31,0,0,1,8
54,0,1,3,3,4,3,2,3,4,3,2,2,3,3,2,3,4,2,3,3,3,4,3,58,1,0,0,21.5
55,0,0,5,4,4,2,4,4,5,5,1,1,4,4,4,4,4,2,4,4,2,5,4,31,1,0,0,3
56,1,1,4,3,4,2,3,3,3,3,2,3,3,3,4,3,3,3,4,3,3,3,5,47,1,0,0,10
57,0,1,5,4,3,2,3,3,4,4,1,1,4,4,3,4,2,4,1,2,2,3,2,62,0,0,1,14
58,0,1,5,3,5,3,5,3,5,5,1,1,5,4,4,5,5,3,3,4,1,5,5,35,0,0,1,1.25
59,0,0,2,4,5,3,2,3,1,4,1,3,4,4,4,4,3,3,3,4,3,4,3,26,1,0,0,6
60,0,1,5,5,4,2,3,3,5,4,1,3,1,3,2,4,2,4,2,3,2,5,3,57,0,1,0,12
61,1,1,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,2,4,4,2,4,4,37,1,0,0,5.833333
62,0,1,3,4,5,5,5,4,5,5,1,1,5,3,5,3,1,5,1,2,2,4,5,33,0,0,1,5
63,1,1,2,2,2,2,1,3,1,2,1,1,3,2,1,2,4,2,2,3,1,3,3,61,1,0,0,22.5
64,1,1,3,3,3,4,2,3,2,4,1,2,4,4,5,3,3,4,2,2,3,3,3,26,0,0,1,1
65,1,1,2,2,2,4,2,1,1,3,1,1,2,2,2,2,,,,,,,,40,0,0,0,3
66,1,1,3,3,3,2,3,3,4,3,2,3,3,3,2,3,3,4,4,3,3,2,3,25,0,0,1,5.25
67,1,1,3,2,3,3,2,3,4,3,2,2,2,2,1,3,3,4,2,3,2,3,4,57,1,0,0,2.666667
68,1,1,4,5,4,4,4,2,4,4,4,4,5,5,4,4,5,2,5,5,1,5,5,34,0,0,1,.75
69,1,1,2,3,3,2,2,2,2,4,1,1,3,3,1,2,1,4,2,3,4,1,1,49,1,0,0,.5
70,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,5,5,40,1,0,0,4
71,1,1,2,2,3,3,1,1,1,3,1,1,3,3,3,2,1,5,1,1,4,3,1,50,1,0,0,3.25
72,1,1,3,3,4,3,3,3,1,4,3,3,3,3,2,4,3,5,3,2,3,3,2,48,1,0,0,4
73,1,1,4,4,3,3,4,4,3,4,2,2,4,4,4,4,4,4,4,4,2,4,3,42,1,0,0,1.583333
74,1,1,3,3,2,3,1,3,1,3,1,2,3,1,1,2,3,3,2,3,3,2,3,83,1,0,0,27
75,1,1,4,4,5,4,4,5,5,5,1,2,5,5,5,5,4,3,4,4,1,5,5,41,0,0,0,1.833333
76,1,1,3,5,5,3,3,3,3,5,2,2,4,3,2,3,,,,,,,,42,0,0,1,1
77,1,1,3,4,3,2,3,2,5,5,1,1,5,3,3,3,3,5,1,1,1,5,5,41,0,0,1,.5833333
78,0,1,1,3,3,2,1,1,3,5,1,1,3,4,2,3,1,5,1,1,3,3,3,67,0,0,0,20
79,0,1,2,4,2,1,1,3,5,3,2,1,5,3,2,1,3,5,1,4,3,1,3,40,0,0,0,.5
80,0,1,3,3,4,3,3,2,2,3,1,1,3,4,3,4,,4,2,3,2,,4,34,1,0,0,.3333333
81,1,1,2,3,3,4,3,3,1,4,2,3,3,3,3,2,3,4,2,3,4,3,3,31,0,1,0,5
82,1,1,4,4,4,3,3,3,5,3,2,3,3,3,3,4,3,4,4,3,3,4,3,23,0,0,1,.0833333
83,1,1,4,3,4,5,4,3,5,3,3,3,4,4,4,4,5,3,4,3,2,4,4,24,0,0,1,5
84,0,0,1,3,1,3,2,4,1,3,1,1,1,3,5,1,1,3,1,1,5,3,5,57,0,0,1,22
85,1,1,1,3,4,5,1,3,3,3,3,3,3,1,1,3,2,3,3,3,2,3,3,35,0,0,1,2.5
86,0,1,3,2,3,2,3,3,4,4,1,2,4,3,3,3,3,3,2,4,2,4,3,41,1,0,0,3
87,1,1,2,4,2,5,4,3,4,3,2,4,2,4,3,4,3,3,4,5,3,3,2,40,0,0,1,.25
88,1,1,4,4,5,2,4,3,4,4,2,2,4,3,4,4,2,4,4,3,2,4,2,62,0,0,0,4.5
89,1,1,4,3,5,2,4,2,2,5,1,2,4,3,3,4,2,4,3,4,1,4,4,40,1,0,0,1
90,0,1,3,3,5,2,4,2,3,4,1,1,4,2,1,5,5,3,2,2,2,5,3,60,0,0,1,2.5
91,0,1,4,4,3,3,2,3,4,3,1,1,3,2,3,4,1,4,1,3,3,4,4,41,1,0,0,10
92,0,1,2,3,4,4,3,3,3,4,1,2,3,3,2,3,3,3,3,3,3,4,3,26,1,0,0,.25
93,0,1,3,4,3,1,5,2,2,5,1,1,4,2,5,3,4,5,1,1,1,5,1,53,0,0,0,4
94,0,1,3,3,3,1,2,3,3,2,2,2,2,2,2,2,3,3,1,4,3,3,5,51,0,0,0,5
95,0,1,5,4,2,3,5,3,5,3,1,2,2,4,3,3,3,4,2,3,1,3,4,60,0,0,1,10
96,1,0,4,5,5,5,5,4,5,5,2,1,5,5,5,5,1,5,1,1,2,3,5,47,0,0,0,16
97,1,0,3,2,3,2,2,2,5,4,1,,2,1,1,3,,5,2,4,2,5,3,52,1,0,0,7
98,1,1,3,3,4,3,3,3,2,5,1,1,4,4,3,3,3,4,2,3,1,3,3,37,0,0,1,16
99,1,1,5,5,5,4,4,3,4,4,2,2,4,4,3,4,2,4,2,2,3,2,2,50,1,0,0,7
100,1,1,3,4,4,3,4,4,4,5,2,1,5,5,4,3,3,1,1,3,1,4,4,41,0,0,1,19.33333
101,0,1,2,4,3,3,1,2,2,3,1,3,2,2,1,4,3,4,3,2,1,3,3,40,1,0,0,.0833333
102,0,1,2,3,3,4,3,3,3,4,1,3,3,2,2,3,3,3,3,4,2,3,3,38,1,0,0,.8333333
103,0,1,3,4,5,3,5,5,4,4,2,4,4,4,2,4,3,5,4,3,1,3,3,30,1,0,0,.75
104,0,1,3,2,3,2,5,5,1,3,2,2,4,3,4,3,3,4,4,5,2,5,3,27,1,0,0,.25
105,0,0,2,2,3,2,3,1,4,3,1,2,2,1,2,1,3,4,3,3,2,3,4,43,1,0,0,.3333333
106,0,0,4,3,4,2,4,5,3,4,1,1,3,3,4,4,3,4,1,3,1,3,4,52,0,1,0,15
107,0,1,1,2,2,3,2,2,2,2,1,1,2,2,1,2,4,5,2,2,4,3,2,46,0,0,0,1.583333
108,0,1,3,3,3,3,2,3,4,3,2,3,3,3,2,3,3,4,3,2,3,3,3,35,1,0,0,.4166667
109,0,1,2,1,2,2,2,4,1,3,1,2,1,2,4,2,4,5,2,2,1,3,5,29,0,0,0,4
110,0,0,3,3,3,2,3,2,2,4,1,2,2,2,2,3,4,3,4,4,2,5,4,62,1,0,0,1.833333
111,0,1,1,1,5,1,1,1,1,2,1,1,3,1,1,1,1,5,1,1,1,1,5,35,0,0,0,2
112,0,1,2,3,4,4,3,5,1,2,2,2,3,1,1,2,1,2,3,4,5,3,1,40,0,0,0,4
113,0,1,5,3,5,3,5,4,3,4,1,1,5,4,1,3,3,2,2,2,3,4,3,52,0,1,0,17
114,0,1,3,2,4,1,3,3,5,3,1,1,3,2,2,4,3,2,5,5,1,5,5,48,1,0,0,.6666667
115,0,0,4,4,4,5,4,3,5,4,1,2,4,1,2,4,3,3,2,3,1,5,5,57,1,0,0,9.5
116,0,1,3,4,4,4,4,4,5,4,3,3,4,4,5,4,4,2,4,4,1,5,3,38,0,0,1,.0833333
117,1,0,3,3,3,2,2,3,3,3,2,2,2,2,1,3,4,5,2,2,1,5,5,44,1,0,0,13
118,0,1,4,4,3,,4,3,4,4,1,2,1,1,4,5,5,5,3,4,1,5,4,44,1,0,0,5
119,0,1,3,3,4,3,3,3,1,3,1,1,4,3,3,4,2,4,2,3,1,3,4,21,1,0,0,.0833333
120,0,1,4,2,5,2,5,3,5,5,1,1,3,2,5,4,3,5,3,5,2,2,5,31,0,1,0,.5
121,0,1,5,5,5,4,5,5,5,5,3,3,5,5,5,5,4,,4,5,2,5,4,42,0,0,0,4.666667
122,0,1,1,1,3,3,3,1,3,3,3,3,3,3,1,4,3,3,2,3,3,3,3,22,0,0,1,.25
123,0,1,3,4,5,3,4,4,3,3,1,2,3,3,1,3,4,3,4,4,2,4,4,37,0,0,0,.25
124,0,1,1,3,2,3,1,1,2,3,1,2,3,1,1,3,3,5,2,3,1,3,5,34,1,0,0,5
125,0,1,2,3,3,3,3,3,3,4,1,1,4,3,2,4,2,4,4,3,2,3,3,36,0,0,1,3
126,0,1,2,3,1,3,3,4,1,3,1,1,3,2,1,3,3,2,2,3,1,4,3,20,1,0,0,2
127,0,1,3,3,3,3,3,3,5,3,1,1,4,3,3,1,3,5,3,3,1,3,5,38,0,0,1,10
128,0,1,5,5,3,3,4,3,1,5,1,2,5,5,3,3,1,1,3,3,3,4,3,30,0,0,1,1
129,0,1,4,1,4,3,5,3,4,4,4,4,1,2,1,3,4,4,3,3,2,5,3,48,1,0,0,.8333333
130,0,0,3,3,4,4,3,3,3,3,2,2,3,3,3,4,3,3,3,2,2,4,4,26,0,0,1,3
131,0,0,4,3,5,,4,3,4,3,1,1,1,4,4,5,1,5,2,3,2,4,1,38,1,0,0,2
132,0,1,4,3,3,4,3,4,4,4,2,2,3,3,3,3,2,4,2,2,3,3,3,42,0,0,1,20
133,0,1,4,3,5,3,3,4,3,4,1,2,3,3,1,3,3,2,3,3,2,5,4,37,0,0,0,4
134,0,1,4,4,4,3,3,3,3,3,1,3,3,3,3,3,3,5,3,3,2,3,4,33,0,0,1,4
135,0,1,1,1,2,4,1,2,1,1,1,3,1,1,1,1,3,4,2,3,3,2,3,33,0,0,0,.25
136,1,0,1,3,3,3,3,1,4,4,1,1,3,2,2,3,3,4,2,1,3,3,3,59,1,0,0,7.833333
137,0,1,1,2,4,2,3,3,4,4,1,2,2,2,2,4,2,3,2,3,4,3,4,32,0,0,1,.9166667
138,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,5,38,0,0,1,1
139,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4,1,1,5,1,1,2,1,1,35,0,0,1,1.5
140,1,1,3,3,2,3,2,3,4,4,2,3,3,3,3,3,3,4,3,3,2,4,3,36,0,0,0,2
141,1,1,2,3,3,2,3,3,2,4,1,1,3,3,3,3,3,2,3,3,2,4,3,48,1,0,0,9.5
142,1,1,5,5,5,3,5,5,5,5,3,3,5,5,5,5,2,3,3,3,1,4,4,31,1,0,0,.25
143,1,1,1,2,4,3,4,3,3,4,1,2,3,3,2,4,3,4,4,3,3,4,4,32,1,0,0,1
144,1,1,4,4,5,3,4,3,3,4,3,2,3,2,3,5,3,3,3,3,2,3,3,39,1,0,0,.25
145,1,1,3,2,3,2,3,2,2,4,1,1,3,2,2,2,2,4,2,2,3,3,4,50,1,0,0,7.583333
146,1,1,1,5,5,2,3,2,3,5,1,1,2,2,1,5,1,4,1,1,2,3,5,28,0,0,0,.0833333
147,0,1,4,4,5,4,4,3,5,4,1,2,4,4,3,4,,,3,2,3,3,4,43,0,0,0,8
148,1,0,2,3,5,1,3,3,5,5,1,1,3,1,4,4,1,5,1,1,1,5,5,39,0,0,0,10
149,1,0,1,5,4,2,5,3,4,5,2,2,5,2,1,5,3,5,3,4,2,3,3,48,1,0,0,6.5
150,1,0,4,3,3,3,3,2,4,3,2,2,2,3,1,3,3,5,2,3,2,2,4,47,1,0,0,6
151,0,1,5,5,5,1,1,5,1,5,1,5,5,3,5,1,1,5,1,5,1,1,5,30,0,0,0,.3333333
152,0,1,1,1,3,1,1,3,2,3,1,3,1,2,3,2,1,5,2,1,3,5,5,35,0,0,0,3
153,1,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,2,4,1,1,1,,1,50,0,0,1,.4166667
154,1,1,2,2,1,3,1,5,5,4,3,3,1,1,1,1,2,5,3,1,5,5,2,48,0,0,0,3
155,1,1,1,2,3,3,2,3,4,5,1,2,3,1,1,2,3,5,3,3,2,4,5,28,1,0,0,2
156,1,1,2,3,4,3,3,3,5,4,1,2,5,3,2,4,3,3,4,3,2,5,4,40,0,0,0,1.416667
157,1,1,4,2,5,5,4,3,2,5,2,1,4,2,1,5,4,5,4,4,1,5,5,30,0,0,1,.3333333
158,1,1,3,2,4,3,3,2,3,4,2,3,3,2,2,3,3,5,3,3,3,3,3,29,1,0,0,1.166667
159,1,0,3,3,4,3,3,4,4,4,2,3,2,3,1,4,3,4,3,3,3,3,3,52,0,0,1,10
160,1,1,3,4,3,2,3,3,3,3,1,2,3,2,1,3,3,5,3,4,2,2,3,35,1,0,0,1.166667
161,1,1,1,2,5,1,1,2,3,2,1,3,2,3,4,2,3,4,1,3,1,3,3,30,1,0,0,4.083333
162,1,1,1,3,4,3,1,3,2,3,1,1,3,3,1,3,3,2,3,4,2,3,4,25,0,0,0,6
164,1,1,5,5,4,3,3,3,5,4,2,2,5,4,2,4,2,3,3,2,4,3,5,67,1,0,0,14
165,1,1,3,2,2,1,1,1,3,4,1,1,4,3,4,2,1,4,1,1,3,2,2,40,1,0,0,1
166,0,1,3,4,3,4,3,2,3,5,1,1,4,3,2,3,3,2,2,4,1,3,5,37,1,0,0,5
167,0,1,3,3,3,3,3,2,3,4,3,3,4,3,3,3,3,4,3,4,1,4,3,38,0,0,0,1.333333
168,0,0,1,3,3,,1,1,1,3,1,,3,3,2,3,4,3,3,4,4,3,4,26,0,0,0,4
169,0,0,3,4,3,4,1,5,1,4,1,2,3,2,1,3,2,5,3,1,1,4,4,61,0,0,0,15
170,1,1,3,2,3,3,3,3,3,4,1,3,2,2,1,3,3,5,2,2,1,3,2,39,0,0,1,3
171,1,1,4,4,5,3,3,4,3,4,1,1,3,3,3,4,2,2,3,4,2,4,4,39,0,1,0,13
172,1,1,3,3,4,1,2,3,2,3,2,1,3,1,4,4,3,4,4,3,3,4,4,52,1,0,0,8
173,1,1,3,2,2,3,2,3,2,3,2,3,3,2,2,3,4,3,3,2,2,3,3,68,0,0,0,8
174,1,1,3,4,4,3,3,5,5,5,1,2,4,4,3,4,4,3,3,3,3,5,4,35,1,0,0,1
175,0,1,5,3,5,4,3,,5,5,1,3,3,1,1,5,3,5,4,3,,4,2,28,1,0,0,.1666667
176,0,1,1,1,3,4,1,3,5,4,1,1,4,1,1,4,2,4,2,3,3,5,3,24,0,0,1,1
177,0,1,5,4,4,3,5,4,3,5,1,2,4,3,2,3,3,3,3,3,2,2,4,39,0,0,1,1
178,0,1,1,1,3,2,3,3,5,3,2,2,3,3,1,4,3,3,2,3,2,5,5,33,0,0,1,.8333333
179,0,1,1,2,4,3,2,2,4,3,1,1,3,2,2,3,3,2,2,2,3,2,2,24,0,0,0,3
180,1,0,4,4,4,3,5,4,3,4,1,1,5,4,5,4,3,4,3,4,1,4,5,38,1,0,0,6.5
181,0,0,2,1,3,2,1,2,1,4,1,1,3,2,1,3,1,5,1,1,3,3,4,70,1,0,0,4
183,1,0,3,4,4,2,4,3,2,4,3,3,3,3,3,4,3,4,3,3,1,4,4,47,1,0,0,11
184,1,0,2,3,4,5,5,4,5,5,1,1,5,5,1,5,1,5,1,1,3,5,1,39,1,0,0,12
185,1,1,5,5,5,3,5,4,5,4,3,3,4,5,4,,3,1,3,4,2,3,4,71,1,0,0,6
186,0,1,2,3,2,,2,1,5,,2,3,3,1,1,2,3,5,3,3,3,3,3,34,0,0,1,.0833333
187,1,0,4,4,5,3,4,3,4,4,2,2,3,4,4,4,4,1,4,4,2,4,4,42,1,0,0,10.08333
189,1,1,3,4,4,2,3,3,2,3,2,2,3,3,2,3,3,1,3,4,2,4,4,32,1,0,0,1.166667
190,1,0,1,4,3,,1,1,2,5,1,1,1,1,3,1,1,5,1,1,1,1,2,38,0,0,0,14
191,1,1,3,3,3,2,3,3,3,3,1,2,4,3,3,3,2,1,2,1,3,3,2,39,1,0,0,13
192,1,1,4,5,5,3,5,5,2,5,1,5,5,5,5,3,3,5,2,3,1,5,5,37,0,0,1,2.5
193,1,1,3,4,4,5,2,3,2,3,1,1,2,3,3,3,3,2,3,4,2,4,5,28,1,0,0,6.25
197,1,0,3,4,5,3,4,3,5,3,1,1,3,3,3,4,1,3,2,3,3,4,4,32,0,0,0,15.41667
198,1,1,1,1,5,1,3,2,1,3,1,1,2,2,2,2,5,1,5,2,1,5,5,36,1,0,0,4
201,1,1,4,4,4,2,4,4,3,4,1,1,4,3,2,4,2,2,2,2,2,4,4,49,0,0,0,7
202,1,0,2,4,2,1,1,2,2,3,1,1,1,3,1,3,1,4,1,2,3,2,1,31,0,0,1,3.75
203,1,0,1,1,3,3,2,1,3,3,2,3,1,2,1,3,3,5,3,3,4,3,3,36,0,0,1,.8333333
206,1,0,3,3,4,5,5,4,5,4,3,4,4,5,3,5,4,5,5,5,1,4,5,48,0,0,0,3
207,1,0,3,3,3,3,1,3,3,4,2,2,3,3,3,4,5,1,3,1,4,3,2,25,0,0,1,.75
208,1,0,1,3,5,5,5,4,5,5,1,1,5,1,1,5,1,1,1,1,3,1,5,37,1,0,0,4
242,1,0,1,5,5,1,3,5,5,5,1,1,1,5,1,5,1,2,1,5,1,5,5,56,0,0,0,12
243,1,0,4,4,3,4,3,3,2,3,1,1,3,3,3,3,3,4,3,3,2,3,2,39,0,0,1,.75
