id,S3SS1_1,S3SS1_2,S3SS1_3,S3SS1_4,S3SS1_5,S3SS1_6,S3SS1_7,S3SS1_8,S3SS1_9,S3SS1_10,S3SS1_11,S3SS1_12,S3SS1_13,S3SS1_14,S3SS1_15
1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1
2,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
4,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
5,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1
6,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
7,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,0,1,1,0,1,1,1,1,,1,1
9,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1
10,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
11,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1
12,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1
13,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1
14,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
15,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1
16,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1
17,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
18,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1
19,1,1,1,1,0,1,1,,1,1,1,1,1,1,1
20,1,1,1,1,0,1,1,,1,1,1,1,,1,1
21,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
22,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0
23,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1
24,1,1,1,1,,,1,,,1,1,,1,1,1
25,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1
26,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
27,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
28,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
29,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
31,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1
32,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1
33,1,1,,1,0,1,1,1,1,1,1,1,1,1,1
34,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0
35,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
36,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
37,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
38,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1
39,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
40,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
41,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1
42,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1
43,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
44,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1
45,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
46,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
47,1,1,1,1,0,1,1,,1,1,1,1,1,1,1
48,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
49,1,1,1,1,0,1,1,,1,0,1,1,,1,1
50,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0
51,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1
52,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
53,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
54,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
55,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1
56,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
57,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1
58,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
59,1,1,1,1,0,1,1,0,1,1,1,1,,1,1
60,1,1,1,1,0,1,1,,,1,1,1,,1,1
61,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0
62,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1
63,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,0,1,1,,1,1,1,1,,1,1
65,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
66,1,1,1,0,0,,1,0,1,0,0,1,,1,1
67,1,1,1,1,,1,1,1,0,1,1,1,,1,1
68,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0
69,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
70,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0
71,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1
72,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1
73,1,0,1,1,0,0,1,0,1,1,1,1,0,1,
74,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0
75,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
76,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
77,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1
78,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1
79,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1
80,1,1,1,1,0,1,1,1,,1,1,1,1,1,1
81,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1
82,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
83,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1
84,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
85,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
86,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
87,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
88,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1
89,1,1,1,1,0,1,1,0,,1,1,1,1,1,1
90,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1
91,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
92,0,1,0,1,1,1,1,,1,1,1,1,,1,1
93,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
94,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
95,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
96,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1
97,0,1,1,1,,,1,,1,1,1,1,1,1,1
98,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1
99,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0
100,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
101,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
102,0,1,0,1,1,1,1,,1,1,1,1,1,1,1
103,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
105,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1
106,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
107,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
108,1,,1,1,0,1,1,0,1,1,1,1,1,1,1
109,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
110,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1
111,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
112,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1
113,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
114,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
115,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
116,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1
117,1,1,1,1,0,1,1,,,1,1,1,1,1,1
118,1,1,1,1,,1,1,0,1,1,1,1,0,1,1
119,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
120,,1,0,1,0,1,1,,1,1,1,1,1,1,1
121,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1
122,0,1,0,0,0,1,1,,0,1,1,1,1,1,1
123,1,,1,1,1,0,1,0,1,1,1,1,,1,1
124,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
125,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1
126,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1
127,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1
128,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
129,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1
130,1,1,1,1,1,1,1,,1,1,1,1,0,1,
131,1,0,1,1,0,1,1,0,,1,1,1,,1,0
132,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1
133,1,0,1,1,0,0,1,,1,1,1,1,,1,1
134,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
135,0,1,0,0,0,1,,1,0,0,0,0,1,1,1
136,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1
137,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1
138,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1
139,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
140,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
141,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
142,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0
143,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1
144,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0
145,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
146,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
147,1,0,1,1,1,,1,0,1,1,1,1,0,1,1
148,,1,1,0,0,1,1,1,0,0,1,1,1,1,1
149,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
150,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
151,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
152,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1
153,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1
154,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1
155,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1
156,0,1,1,1,,1,1,1,1,1,1,1,0,1,1
157,1,1,1,1,1,1,1,,1,1,1,1,0,1,1
158,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1
159,1,1,,1,0,0,1,0,,1,1,1,0,1,1
160,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
161,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
162,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1
164,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
165,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
166,0,1,0,1,1,,0,0,0,0,0,0,1,1,1
167,1,1,1,1,0,,1,,1,1,1,1,,1,1
168,1,1,1,1,0,1,1,,1,1,1,1,1,1,1
169,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
170,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
171,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1
172,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1
173,0,1,0,0,0,1,0,,0,0,0,0,1,1,1
174,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1
175,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1
176,1,1,1,0,0,1,,1,0,0,0,0,1,1,1
177,0,0,0,1,0,1,,1,1,,0,,,1,1
178,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1
179,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1
180,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
181,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
183,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1
184,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
185,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
186,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
187,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1
189,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1
190,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
191,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1
192,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1
193,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
197,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1
198,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1
201,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1
202,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
203,1,1,0,0,,1,1,0,1,1,1,1,0,1,1
206,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1
207,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1
208,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
242,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1
243,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1
